Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
(other),"101,970,728","95,984,124",0:02:21,"55,403,206",61.80%,57.92%,<$0.01
/home,"29,515,323","9,488,672",0:04:25,"8,763,470",25.30%,17.81%,$0.05 
/bangla/home,"4,790,426","1,343,430",0:04:34,"722,376",35.76%,14.40%,$0.06 
/english,"3,927,273","1,094,822",0:06:33,"354,092",27.89%,12.11%,$1.00 
/business,"845,531","570,445",0:01:22,"119,162",37.46%,24.55%,$0.02 
/todays-news,"717,235","404,687",0:01:10,"186,161",23.60%,19.00%,$0.04 
/news,"686,824","461,682",0:01:21,"82,960",37.82%,18.74%,$0.02 
/views/editorial,"395,396","244,812",0:00:55,"131,038",19.88%,16.95%,$0.03 
/sports,"376,274","243,469",0:01:19,"39,082",35.46%,19.42%,$0.02 
/views,"317,354","216,385",0:00:43,"21,587",33.03%,11.39%,$0.03 
/news/bangladesh,"228,689","146,672",0:01:23,"20,157",36.47%,16.83%,$0.02 
/top-news,"225,027","141,653",0:01:19,"97,819",27.41%,27.20%,$0.03 
/newspaper,"199,593","144,294",0:00:58,"114,426",15.93%,26.67%,$0.08 
/health/disease/coronavirus,"187,446","136,425",0:01:02,"17,529",41.38%,18.66%,$0.03 
/entertainment,"156,954","110,941",0:01:07,"11,922",31.93%,15.24%,$0.02 
/views/opinion,"154,271","99,756",0:00:53,"24,996",28.65%,14.59%,$0.02 
/bangla/à¦–à§‡à¦²à¦¾,"138,840","82,164",0:01:39,"28,438",38.84%,24.06%,$0.02 
/business/economy,"105,471","73,600",0:01:17,"8,022",38.43%,17.16%,$0.02 
/bangla/à¦¸à¦‚à¦¬à¦¾à¦¦,"99,787","66,574",0:01:26,"10,149",41.66%,21.12%,$0.06 
/life-living,"91,615","70,119",0:00:54,"5,601",43.55%,14.15%,$0.02 
/news/world,"88,177","62,291",0:01:22,"8,430",44.78%,18.44%,$0.02 
/bangla/à¦¸à¦‚à¦¬à¦¾à¦¦/à¦¬à¦¾à¦‚à¦²à¦¾à¦¦à§‡à¦¶/à¦¯à§‡-à¦•à¦¾à¦°à¦£à§‡-à¦ªà¦¦à§à¦®à¦¾-à¦¸à§‡à¦¤à§à¦¤à§‡-à¦¸à¦¾à¦‡à¦•à§‡à¦²-à¦“-à¦ªà¦¾à§Ÿà§‡-à¦¹à¦¾à¦Ÿà¦¾à¦°-à¦²à§‡à¦¨-à¦¨à§‡à¦‡-253536,"87,609","84,385",0:02:21,"82,153",51.73%,60.34%,<$0.01
/tech-startup,"86,871","66,074",0:01:02,"5,925",41.15%,16.64%,$0.02 
/toggle/news/all-you-need-know-about-pulse-oximeter-1938229,"86,044","81,611",0:03:19,"81,466",57.81%,69.04%,<$0.01
/opinion,"84,994","59,414",0:00:57,"7,977",34.63%,14.44%,$0.00 
/bangla/à¦¸à¦‚à¦¬à¦¾à¦¦/à¦¬à¦¾à¦‚à¦²à¦¾à¦¦à§‡à¦¶/à¦…à¦ªà¦°à¦¾à¦§-à¦“-à¦¬à¦¿à¦šà¦¾à¦°/à¦ªà¦°à§€à¦®à¦¨à¦¿-à¦†à¦Ÿà¦•à§‡à¦°-à¦¨à¦¾à¦Ÿà¦•à§€à§Ÿ-à§ª-à¦˜à¦¨à§à¦Ÿà¦¾-246761,"82,168","75,880",0:03:45,"73,562",52.06%,57.84%,<$0.01
/bangla/à¦¸à§à¦¬à¦¾à¦¸à§à¦¥à§à¦¯/à¦•à¦°à§‹à¦¨à¦¾à¦­à¦¾à¦‡à¦°à¦¾à¦¸/à¦¨à¦¾à¦•-à¦¦à¦¿à¦¯à¦¼à§‡-à¦¶à§à¦¬à¦¾à¦¸-à¦¨à¦¿à¦²à§‡à¦‡-à¦•à¦°à§‡à¦¾à¦¨à¦¾à¦°-à¦Ÿà¦¿à¦•à¦¾-à¦Ÿà§à¦°à¦¾à§Ÿà¦¾à¦²-à¦¹à¦¬à§‡-à¦¬à¦¾à¦‚à¦²à¦¾à¦¦à§‡à¦¶à§‡-250051,"79,769","75,171",0:05:28,"72,920",83.01%,84.59%,<$0.01
/bangla/à¦¶à§€à¦°à§à¦·-à¦–à¦¬à¦°,"76,142","52,269",0:01:21,"40,463",42.60%,39.03%,$0.02 
/epaper,"75,308","59,797",0:03:12,"54,185",16.83%,65.37%,$0.02 
